run,start_time_min,end_time_min,jar_mas_g,jar_and_sample_mass_g,sample_mass_g,slope,surface,rainfall,replicate
18,10,15,2.57111,2.70307,0.12634,10,sand,low,2
18,15,20,2.63067,2.71034,0.07405,10,sand,low,2
18,20,25,2.59456,2.64996,0.04978,10,sand,low,2
18,25,30,2.58662,2.62903,0.03679,10,sand,low,2
18,N/A,Remainder,2.56273,3.11368,0.55095,10,sand,low,2
19,N/A,Blank,2.58661,2.59364,0.00703,10,sand,low,3
19,0,5,2.59663,2.64365,0.03999,10,sand,low,3
19,5,10,2.58625,2.75983,0.16655,10,sand,low,3
19,10,15,2.59566,2.7228,0.12011,10,sand,low,3
19,15,20,2.56291,2.6444,0.07446,10,sand,low,3
19,20,25,2.58412,2.64064,0.04949,10,sand,low,3
19,25,30,2.62272,2.66338,0.03363,10,sand,low,3
19,N/A,Remainder,2.59551,3.12082,0.52531,10,sand,low,3
20,N/A,Blank,2.58494,2.59106,0.00612,10,sand,low,4
20,0,5,2.61001,2.68467,0.06854,10,sand,low,4
20,5,10,2.5808,2.79307,0.20615,10,sand,low,4
20,10,15,2.57381,2.68986,0.10993,10,sand,low,4
20,15,20,2.63076,2.70075,0.06387,10,sand,low,4
20,20,25,2.65022,2.69864,0.0423,10,sand,low,4
20,25,30,2.60632,2.64517,0.03273,10,sand,low,4
20,N/A,Remainder,2.61308,3.08236,0.46928,10,sand,low,4
21,N/A,Blank,2.63856,2.6462,0.00764,15,sand,low,1
21,0,5,2.58574,2.64296,0.04958,15,sand,low,1
21,5,10,2.6018,2.79555,0.18611,15,sand,low,1
21,10,15,2.61753,2.74592,0.12075,15,sand,low,1
21,15,20,2.61509,2.70257,0.07984,15,sand,low,1
21,20,25,2.62401,2.68147,0.04982,15,sand,low,1
21,25,30,2.59149,2.63196,0.03283,15,sand,low,1
21,N/A,Remainder,2.56405,3.08711,0.52306,15,sand,low,1
22,N/A,Blank,2.60288,2.61165,0.00877,15,sand,low,2
22,0,5,2.59936,2.66638,0.05825,15,sand,low,2
22,5,10,2.63723,2.82731,0.18131,15,sand,low,2
22,10,15,2.5585,2.69444,0.12717,15,sand,low,2
22,15,20,2.58635,2.67155,0.07643,15,sand,low,2
22,20,25,2.56858,2.62228,0.04493,15,sand,low,2
22,25,30,2.5984,2.63704,0.02987,15,sand,low,2
22,N/A,Remainder,2.55759,2.99143,0.43384,15,sand,low,2
23,N/A,Blank,2.62883,2.63183,0.003,15,sand,low,3
23,0,5,2.58728,2.65793,0.06765,15,sand,low,3
23,5,10,2.63485,2.83709,0.19924,15,sand,low,3
23,10,15,2.56106,2.68703,0.12297,15,sand,low,3
23,15,20,2.5987,2.67441,0.07271,15,sand,low,3
23,20,25,2.59314,2.64216,0.04602,15,sand,low,3
23,25,30,2.61153,2.64526,0.03073,15,sand,low,3
23,N/A,Remainder,2.57321,2.99103,0.41782,15,sand,low,3
24,N/A,Blank,2.58513,2.59041,0.00528,15,sand,low,4
24,0,5,2.62372,2.68444,0.05544,15,sand,low,4
24,5,10,2.59772,2.78103,0.17803,15,sand,low,4
24,10,15,2.59939,2.73189,0.12722,15,sand,low,4
24,15,20,2.62171,2.70404,0.07705,15,sand,low,4
24,20,25,2.60881,2.65738,0.04329,15,sand,low,4
24,25,30,2.61051,2.64644,0.03065,15,sand,low,4
24,N/A,Remainder,2.58485,3.02796,0.44311,15,sand,low,4
25,N/A,Blank,2.58791,2.6051,0.01719,15,sand,high,1
25,0,5,2.56717,3.1835,0.59914,15,sand,high,1
25,5,10,2.6239,2.76273,0.12164,15,sand,high,1
25,10,15,2.59946,2.65944,0.04279,15,sand,high,1
25,15,20,2.65542,2.68991,0.0173,15,sand,high,1
25,20,25,2.60989,2.63343,0.00635,15,sand,high,1
25,25,30,2.63018,2.64664,0,15,sand,high,1
25,N/A,Remainder,2.61871,2.78411,0.1654,15,sand,high,1
26,N/A,Blank,2.56117,2.56737,0.0062,15,sand,high,2
26,0,5,2.59534,3.14821,0.54667,15,sand,high,2
26,5,10,2.64489,2.78773,0.13664,15,sand,high,2
26,10,15,2.56807,2.62556,0.05129,15,sand,high,2
26,15,20,2.57673,2.61293,0.03,15,sand,high,2
26,20,25,2.58149,2.60464,0.01695,15,sand,high,2
26,25,30,2.59159,2.60849,0.0107,15,sand,high,2
26,N/A,Remainder,2.63808,2.80481,0.16673,15,sand,high,2
27,N/A,Blank,2.59666,2.60121,0.00455,15,sand,high,3
27,0,5,2.5795,3.12945,0.5454,15,sand,high,3
27,5,10,2.59749,2.74995,0.14791,15,sand,high,3
27,10,15,2.55625,2.61816,0.05736,15,sand,high,3
27,15,20,2.60635,2.64109,0.03019,15,sand,high,3
27,20,25,2.56967,2.5939,0.01968,15,sand,high,3
27,25,30,2.60335,2.62094,0.01304,15,sand,high,3
27,N/A,Remainder,2.6023,2.8039,0.2016,15,sand,high,3
28,N/A,Blank,2.58185,2.58714,0.00529,15,sand,high,4
28,0,5,2.60348,3.1978,0.58903,15,sand,high,4
28,5,10,2.59695,2.71479,0.11255,15,sand,high,4
28,10,15,2.60596,2.66059,0.04934,15,sand,high,4
28,15,20,2.59912,2.63511,0.0307,15,sand,high,4
28,20,25,2.57376,2.59718,0.01813,15,sand,high,4
28,25,30,2.56002,2.57876,0.01345,15,sand,high,4
28,N/A,Remainder,2.62304,2.80512,0.18208,15,sand,high,4
29,N/A,Blank,2.58465,2.58937,0.00472,10,sand,high,1
29,0,5,2.63813,3.33004,0.68719,10,sand,high,1
29,5,10,2.58471,2.66779,0.07836,10,sand,high,1
29,10,15,2.59357,2.63051,0.03222,10,sand,high,1
29,15,20,2.56683,2.58976,0.01821,10,sand,high,1
29,20,25,2.60107,2.61588,0.01009,10,sand,high,1
29,25,30,2.5922,2.60233,0.00541,10,sand,high,1
29,N/A,Remainder,2.59141,2.72121,0.12508,10,sand,high,1
30,N/A,Blank,2.62666,2.62969,0.00303,10,sand,high,2
30,0,5,2.60252,3.28562,0.68007,10,sand,high,2
30,5,10,2.6625,2.74833,0.0828,10,sand,high,2
30,10,15,2.59709,2.63541,0.03529,10,sand,high,2
30,15,20,2.4934,2.5154,0.01897,10,sand,high,2
30,20,25,2.49087,2.50708,0.01318,10,sand,high,2
30,25,30,2.45775,2.46847,0.00769,10,sand,high,2
30,N/A,Remainder,2.45768,2.60372,0.14301,10,sand,high,2
31,N/A,Blank,2.48613,2.49108,0.00495,10,sand,high,3
31,0,5,2.49608,3.10136,0.60033,10,sand,high,3
31,5,10,2.51331,2.61697,0.09871,10,sand,high,3
31,10,15,2.51715,2.56859,0.04649,10,sand,high,3
31,15,20,2.45099,2.47929,0.02335,10,sand,high,3
31,20,25,2.51046,2.53151,0.0161,10,sand,high,3
31,25,30,2.46945,2.48417,0.00977,10,sand,high,3
31,N/A,Remainder,2.44063,2.6237,0.18307,10,sand,high,3
32,N/A,Blank,2.49833,2.50482,0.00649,10,sand,high,4
32,0,5,2.5116,3.15288,0.63479,10,sand,high,4
32,5,10,2.49228,2.58924,0.09047,10,sand,high,4
32,10,15,2.49609,2.54256,0.03998,10,sand,high,4
32,15,20,2.47424,2.49958,0.01885,10,sand,high,4
32,20,25,2.49351,2.51247,0.01247,10,sand,high,4
32,25,30,2.4536,2.46914,0.00905,10,sand,high,4
32,N/A,Remainder,2.4864,2.66053,0.17413,10,sand,high,4
33,N/A,Blank,2.59223,2.59785,0.00562,5,sand,high,1
33,0,5,2.64221,3.42628,0.77845,5,sand,high,1
33,5,10,2.59173,2.65078,0.05343,5,sand,high,1
33,10,15,2.64571,2.6797,0.02837,5,sand,high,1
33,15,20,2.58363,2.60569,0.01644,5,sand,high,1
33,20,25,2.55516,2.57544,0.01466,5,sand,high,1
33,25,30,2.60335,2.61705,0.00808,5,sand,high,1
33,N/A,Remainder,2.61025,2.71527,0.10502,5,sand,high,1
34,N/A,Blank,2.565151,2.57052,0.005369,5,sand,high,2
34,0,5,2.62209,3.39717,0.769711,5,sand,high,2
34,5,10,2.61863,2.6891,0.065101,5,sand,high,2
34,10,15,2.63138,2.66787,0.031121,5,sand,high,2
34,15,20,2.61906,2.64247,0.018041,5,sand,high,2
34,20,25,2.6147,2.63205,0.011981,5,sand,high,2
34,25,30,2.58552,2.59888,0.007991,5,sand,high,2
34,N/A,Remainder,2.58377,2.66926,0.08549,5,sand,high,2
