"","condition","size_class","Q25_count_time","Q50_count_time","Q75_count_time","Q25_vol_time","Q50_vol_time","Q75_vol_time","Q25_count_v","Q50_count_v","Q75_count_v","Q25_vol_v","Q50_vol_v","Q75_vol_v","slope","surface","rainfall"
"22",5,"125–250 µm",6.66868105232817,11.7975920640251,18.4825995925758,6.67833661813004,11.5220103820426,17.8722356454043,0.00274916931691204,0.00155398942715082,0.000991923957531253,0.00274519455691449,0.00159115750858082,0.0010257996647469,10,"sand","low"
"23",5,"250–500 µm",6.62742810292634,10.3534979140089,15.6352955426357,6.67553123240141,9.87349663810339,14.7696013038582,0.00276628173834708,0.0017707381105015,0.00117256071580741,0.00274634822234788,0.00185682276556231,0.00124128830265339,10,"sand","low"
"24",5,"500–1000 µm",6.42654212044251,8.91481210451552,13.178139625585,6.53101638932833,8.9915406421475,13.4758594554744,0.00285275238063342,0.00205650249476903,0.00139119282798762,0.00280711794925059,0.00203895350785565,0.00136045744569454,10,"sand","low"
"25",5,">1000 µm",6.31798245614035,8.33771929824561,11.1382681564246,6.36878232354184,8.29089138662162,10.7921574284784,0.00290177021867407,0.00219884271436086,0.00164597701149425,0.00287862457876213,0.00221126203183851,0.00169876444583317,10,"sand","low"
"26",6,"<125 µm",6.54727123571572,12.7258564801878,19.1513411714473,6.4511165996421,12.5450965611064,19.1787862997852,0.00280014874491895,0.00144063649954528,0.000957287177394472,0.0028418852845336,0.00146139435786985,0.000955917285211039,15,"sand","low"
"27",6,"125–250 µm",6.35041341394785,11.5176852743022,18.1197060924584,6.34954863428687,11.2065578687055,17.5436876489121,0.00288695115393064,0.00159175501819258,0.00101178977406062,0.00288734434355465,0.00163594687576008,0.00104501024529299,15,"sand","low"
"28",6,"250–500 µm",6.4109478037331,10.1622315592904,15.6322674418605,6.51852150242384,9.80347947216741,14.9759177577663,0.00285969156115385,0.00180406569426898,0.00117278785061212,0.00281249871255564,0.00187008432928152,0.00122418763443235,15,"sand","low"
"29",6,"500–1000 µm",6.46762580578083,8.9232428779372,13.5042608006342,6.62292293712594,9.05621147630196,14.027549457215,0.00283463111254006,0.00205455948965176,0.00135759621381663,0.00276816346911764,0.00202439324449385,0.00130695196543425,15,"sand","low"
"30",6,">1000 µm",6.30939226519337,8.22651933701657,10.5627705627706,6.33782153789454,8.1845587465008,10.1471970192944,0.00290572095738471,0.00222856503246026,0.00173565573770492,0.00289268689938905,0.00223999043823487,0.00180673867852112,15,"sand","low"
"31",7,"<125 µm",3.69206888600979,7.9452235951551,14.0984329252063,3.33479691471608,7.4383271165696,13.6956187910858,0.00496559893635871,0.00230746600316104,0.00130038093102926,0.005497586150578,0.00246471189637439,0.00133862760149735,15,"sand","high"
