"","run","mean_mL_min","slope","rainfall","slope_rad","projected_area","avg_mm_min","q","Re","S","y","depth_mm","V"
"21",21,431.160055037458,15,"low",0.261799387799149,6954.66594928129,0.619957965173028,1.19766681954849e-05,11.9766681954849,0.267949192431123,0.000239099464950121,0.239099464950121,0.0500907360791602
"22",22,429.407084373943,15,"low",0.261799387799149,6954.66594928129,0.617437397432897,1.19279745659429e-05,11.9279745659429,0.267949192431123,0.000238774988648568,0.238774988648568,0.0499548743922195
"23",23,426.457857082462,15,"low",0.261799387799149,6954.66594928129,0.613196751925278,1.18460515856239e-05,11.8460515856239,0.267949192431123,0.000238227085812705,0.238227085812705,0.0497258804355159
"24",24,426.598951985619,15,"low",0.261799387799149,6954.66594928129,0.613399629970301,1.18499708884894e-05,11.8499708884894,0.267949192431123,0.000238253355638885,0.238253355638885,0.0497368478052001
"25",25,1058.11043267684,15,"high",0.261799387799149,6954.66594928129,1.52143962110241,2.93919564632455e-05,29.3919564632455,0.267949192431123,0.000322509686809127,0.322509686809127,0.0911351121079373
"26",26,1026.85906504848,15,"high",0.261799387799149,6954.66594928129,1.47650379261509,2.85238629180135e-05,28.5238629180135,0.267949192431123,0.000319302788898117,0.319302788898117,0.0893317061728355
"27",27,1011.07330400744,15,"high",0.261799387799149,6954.66594928129,1.45380570595476,2.80853695557622e-05,28.0853695557622,0.267949192431123,0.000317658133131583,0.317658133131583,0.0884138217362389
"28",28,1047.71275825446,15,"high",0.261799387799149,6954.66594928129,1.5064889757397,2.91031321737349e-05,29.1031321737349,0.267949192431123,0.000321449811570172,0.321449811570172,0.0905370951427101
"29",29,1028.72229931526,10,"high",0.174532925199433,7090.6158216879,1.45082222078473,2.85756194254238e-05,28.5756194254238,0.176326980708465,0.000367318703866424,0.367318703866424,0.077795165682103
"30",30,1026.57153350494,10,"high",0.174532925199433,7090.6158216879,1.44778896406288,2.85158759306927e-05,28.5158759306927,0.176326980708465,0.000367062538939861,0.367062538939861,0.0776866961500658
"31",31,1032.89438237535,10,"high",0.174532925199433,7090.6158216879,1.45670617101559,2.86915106215376e-05,28.6915106215376,0.176326980708465,0.000367814599628121,0.36781459962812,0.078005360990418
"32",32,1049.99459013341,10,"high",0.174532925199433,7090.6158216879,1.48082284605213,2.91665163925948e-05,29.1665163925948,0.176326980708465,0.00036983329968327,0.36983329968327,0.078863954158734
"33",33,1063.91235942038,5,"high",0.0872664625997165,7172.60182626057,1.48330046082462,2.95531210950106e-05,29.5531210950106,0.087488663525924,0.000469210734718155,0.469210734718155,0.0629847505785701
"34",34,1075.06069102413,5,"high",0.0872664625997165,7172.60182626057,1.49884340029595,2.98627969728925e-05,29.8627969728925,0.087488663525924,0.000470843936775115,0.470843936775115,0.0634239811548334
"35",35,1053.03974206121,5,"high",0.0872664625997165,7172.60182626057,1.46814192055913,2.92511039461447e-05,29.2511039461447,0.087488663525924,0.00046760689757038,0.46760689757038,0.062554902628959
"36",36,1046.24749001703,5,"high",0.0872664625997165,7172.60182626057,1.45867220202643,2.90624302782509e-05,29.0624302782509,0.087488663525924,0.000466599351788186,0.466599351788186,0.0622856207726664
"37",37,1035.09479748147,5,"high",0.0872664625997165,7172.60182626057,1.44312318256919,2.87526332633742e-05,28.7526332633742,0.087488663525924,0.000464935488023733,0.464935488023733,0.0618421996255673
"38",38,1064.92929228214,5,"high",0.0872664625997165,7172.60182626057,1.4847182627414,2.95813692300595e-05,29.5813692300595,0.087488663525924,0.000469360184329941,0.469360184329941,0.0630248798634035
"39",39,1061.71984185379,5,"high",0.0872664625997165,7172.60182626057,1.48024366550864,2.94922178292719e-05,29.4922178292719,0.087488663525924,0.000468888195533354,0.468888195533354,0.0628981879053809
"40",40,1058.3251718898,5,"high",0.0872664625997165,7172.60182626057,1.47551083627007,2.93979214413833e-05,29.3979214413833,0.087488663525924,0.000468387931700342,0.468387931700342,0.062764045466891
"41",41,1051.32811077611,10,"high",0.174532925199433,7090.6158216879,1.48270352986893,2.92035586326698e-05,29.2035586326698,0.176326980708465,0.000369989799442831,0.369989799442831,0.078930712891673
"42",42,1040.35524497641,10,"high",0.174532925199433,7090.6158216879,1.4672283355055,2.88987568049004e-05,28.8987568049004,0.176326980708465,0.000368698082404319,0.368698082404319,0.0783805454491342
"43",43,1076.1313471639,10,"high",0.174532925199433,7090.6158216879,1.51768389971483,2.98925374212194e-05,29.8925374212194,0.176326980708465,0.000372876848456563,0.372876848456563,0.0801673194379125
