"run","start_time_min","end_time_min","jar_mass_g","jar_and_sample_mass_g","sample_mass_g","slope","surface","rainfall","replicate","raw_mass_g","condition","cumulative_mass_g"
22,5,10,2.63723,2.82731,0.18131,15,"sand","low",2,0.19008,6,0.23956
22,10,15,2.5585,2.69444,0.12717,15,"sand","low",2,0.13594,6,0.36673
22,15,20,2.58635,2.67155,0.07643,15,"sand","low",2,0.0851999999999999,6,0.44316
22,20,25,2.56858,2.62228,0.04493,15,"sand","low",2,0.0537000000000001,6,0.48809
22,25,30,2.5984,2.63704,0.02987,15,"sand","low",2,0.03864,6,0.51796
23,0,5,2.58728,2.65793,0.06765,15,"sand","low",3,0.0706500000000001,6,0.06765
23,5,10,2.63485,2.83709,0.19924,15,"sand","low",3,0.20224,6,0.26689
23,10,15,2.56106,2.68703,0.12297,15,"sand","low",3,0.12597,6,0.38986
23,15,20,2.5987,2.67441,0.07271,15,"sand","low",3,0.07571,6,0.46257
23,20,25,2.59314,2.64216,0.04602,15,"sand","low",3,0.0490200000000001,6,0.50859
23,25,30,2.61153,2.64526,0.03073,15,"sand","low",3,0.0337299999999998,6,0.53932
24,0,5,2.62372,2.68444,0.05544,15,"sand","low",4,0.0607199999999999,6,0.05544
24,5,10,2.59772,2.78103,0.17803,15,"sand","low",4,0.18331,6,0.23347
24,10,15,2.59939,2.73189,0.12722,15,"sand","low",4,0.1325,6,0.36069
24,15,20,2.62171,2.70404,0.07705,15,"sand","low",4,0.0823299999999998,6,0.43774
24,20,25,2.60881,2.65738,0.04329,15,"sand","low",4,0.0485699999999998,6,0.48103
24,25,30,2.61051,2.64644,0.03065,15,"sand","low",4,0.03593,6,0.51168
25,0,5,2.56717,3.1835,0.59914,15,"sand","high",1,0.61633,7,0.59914
25,5,10,2.6239,2.76273,0.12164,15,"sand","high",1,0.13883,7,0.72078
25,10,15,2.59946,2.65944,0.04279,15,"sand","high",1,0.0599799999999999,7,0.76357
25,15,20,2.65542,2.68991,0.0173,15,"sand","high",1,0.0344899999999999,7,0.78087
25,20,25,2.60989,2.63343,0.00635,15,"sand","high",1,0.0235400000000001,7,0.78722
25,25,30,2.63018,2.64664,0,15,"sand","high",1,0.0164599999999999,7,0.78722
26,0,5,2.59534,3.14821,0.54667,15,"sand","high",2,0.55287,7,0.54667
26,5,10,2.64489,2.78773,0.13664,15,"sand","high",2,0.14284,7,0.68331
26,10,15,2.56807,2.62556,0.05129,15,"sand","high",2,0.05749,7,0.7346
26,15,20,2.57673,2.61293,0.03,15,"sand","high",2,0.0362,7,0.7646
26,20,25,2.58149,2.60464,0.01695,15,"sand","high",2,0.0231499999999998,7,0.78155
26,25,30,2.59159,2.60849,0.0107,15,"sand","high",2,0.0169000000000001,7,0.79225
27,0,5,2.5795,3.12945,0.5454,15,"sand","high",3,0.54995,7,0.5454
27,5,10,2.59749,2.74995,0.14791,15,"sand","high",3,0.15246,7,0.69331
27,10,15,2.55625,2.61816,0.05736,15,"sand","high",3,0.0619100000000001,7,0.75067
27,15,20,2.60635,2.64109,0.03019,15,"sand","high",3,0.0347400000000002,7,0.78086
27,20,25,2.56967,2.5939,0.01968,15,"sand","high",3,0.0242300000000002,7,0.80054
27,25,30,2.60335,2.62094,0.01304,15,"sand","high",3,0.0175900000000002,7,0.81358
28,0,5,2.60348,3.1978,0.58903,15,"sand","high",4,0.59432,7,0.58903
